date,sampling_role,matched_pair_id,matched_date,divergence
20260402,matched_low_control,M0395,20260403,0.49
20260406,matched_low_control,M0436,20260511,-0.27
20260407,matched_low_control,M0413,20260707,-0.79
20260409,matched_low_control,M0397,20260414,0.17
20260410,matched_low_control,M0394,20260401,-1.38
20260413,matched_low_control,M0396,20260408,0.89
20260415,matched_low_control,M0437,20260512,1.01
20260417,matched_low_control,M0398,20260416,1.11
20260420,matched_low_control,M0399,20260421,-0.47
20260422,matched_low_control,M0435,20260508,0.36
20260423,matched_low_control,M0401,20260428,0.95
20260424,matched_low_control,M0400,20260427,-0.17
20260506,matched_low_control,M0431,20260429,-0.49
20260514,matched_low_control,M0434,20260507,-1.3
20260515,matched_low_control,M0432,20260430,1.3
20260518,matched_low_control,M0433,20260504,-1.59
20260519,matched_low_control,M0407,20260604,-1.62
20260520,matched_low_control,M0408,20260605,0.88
20260522,matched_low_control,M0402,20260521,0.46
20260527,matched_low_control,M0403,20260526,-1.11
20260601,matched_low_control,M0404,20260528,0.6
20260610,matched_low_control,M0375,20260612,0.64
20260611,matched_low_control,M0374,20260609,1.25
20260617,matched_low_control,M0406,20260602,0.58
20260618,matched_low_control,M0405,20260529,0.11
20260626,matched_low_control,M0376,20260615,-1.17
20260702,matched_low_control,M0383,20260703,1.17
20260708,matched_low_control,M0414,20260710,-0.75
20260714,matched_low_control,M0385,20260713,-1.12
20260716,matched_low_control,M0386,20260715,-0.97
20260720,matched_low_control,M0379,20260625,1.26
20260722,matched_low_control,M0377,20260623,-1.52
20260724,matched_low_control,M0378,20260624,-0.99
